golfer,espn_check,pick_count,group_number
Scottie Scheffler,Scottie Scheffler,3,1
Xander Schauffele,Xander Schauffele,3,1
Rory McIlroy,Rory McIlroy,16,1
Bryson DeChambeau,Bryson DeChambeau,1,1
Collin Morikawa,Collin Morikawa,19,2
Brooks Koepka,Brooks Koepka,3,2
Ludvig Åberg,Ludvig Åberg,19,2
Cameron Smith,Cameron Smith,3,2
Shane Lowry,Shane Lowry,5,2
Tommy Fleetwood,Tommy Fleetwood,9,2
Jon Rahm,Jon Rahm,4,2
Brian Harman,Brian Harman,3,2
Viktor Hovland,Viktor Hovland,4,2
Hideki Matsuyama,Hideki Matsuyama,0,2
Tom Kim,Tom Kim,3,3
Dustin Johnson,Dustin Johnson,1,3
Min Woo Lee,Min Woo Lee,2,3
Matt Fitzpatrick,Matt Fitzpatrick,5,3
Jordan Spieth,Jordan Spieth,3,3
Sahith Theegala,Sahith Theegala,10,3
Will Zalatoris,Will Zalatoris,2,3
Tony Finau,Tony Finau,6,3
Max Homa,Max Homa,2,3
Patrick Cantlay,Patrick Cantlay,2,3
Robert MacIntyre,Robert MacIntyre,10,3
Justin Thomas,Justin Thomas,0,3
Sam Burns,Sam Burns,0,3
Justin Rose,Justin Rose,0,3
Akshay Bhatia,Akshay Bhatia,4,4
Cameron Young,Cameron Young,3,4
Tyrrell Hatton,Tyrrell Hatton,4,4
Sungjae Im,Sungjae Im,2,4
Corey Conners,Corey Conners,8,4
Jason Day,Jason Day,1,4
Matthieu Pavon,Matthieu Pavon,1,4
Keegan Bradley,Keegan Bradley,0,4
Russell Henley,Russell Henley,0,4
Sepp Straka,Sepp Straka,0,4
Chris Kirk,Chris Kirk,0,4
Joaquín Niemann,Joaquín Niemann,0,4
Abraham Ancer,Abraham Ancer,0,4
Austin Eckroat,Austin Eckroat,0,4
Nick Taylor,Nick Taylor,0,4
Rickie Fowler,Rickie Fowler,4,5
Si Woo Kim,Si Woo Kim,2,5
Nicolai Højgaard,Nicolai Højgaard,1,5
Victor Perez,Victor Perez,2,5
Adam Scott,Adam Scott,11,5
Adam Hadwin,Adam Hadwin,1,5
Dean Burmester,Dean Burmester,2,5
Mackenzie Hughes,Mackenzie Hughes,0,5
Tom Hoge,Tom Hoge,0,5
Byeong Hun An,Byeong Hun An,0,5
Matthew Jordan,Matthew Jordan,0,5
Christiaan Bezuidenhout,Christiaan Bezuidenhout,0,5
Ryan Fox,Ryan Fox,0,5
Billy Horschel,Billy Horschel,0,5
Stephan Jaeger,Stephan Jaeger,0,5
Matt Wallace,Matt Wallace,4,6
Henrik Stenson,Henrik Stenson,2,6
Zach Johnson,Zach Johnson,1,6
Padraig Harrington,Padraig Harrington,1,6
Ernie Els,Ernie Els,2,6
Francesco Molinari,Francesco Molinari,2,6
Louis Oosthuizen,Louis Oosthuizen,7,6
Gary Woodland,Gary Woodland,2,6
Emiliano Grillo,Emiliano Grillo,2,6
Tiger Woods,Tiger Woods,0,6
Phil Mickelson,Phil Mickelson,0,6
Stewart Cink,Stewart Cink,0,6
Lucas Glover,Lucas Glover,0,6
Darren Clarke,Darren Clarke,0,6
Justin Leonard,Justin Leonard,0,6
Gordon Sargent (a),Gordon Sargent (a),10,7
Calum Scott (a),Calum Scott (a),8,7
Dominic Clemons (a),Dominic Clemons (a),3,7
Jasper Stubbs (a),Jasper Stubbs (a),1,7
Tommy Morrison (a),Tommy Morrison (a),1,7
Santiago de la Fuente (a),Santiago de la Fuente (a),0,7
Matthew Dodd-Berry (a),Matthew Dodd-Berry (a),0,7
Luis Masaveu (a),Luis Masaveu (a),0,7
Jaime Montojo (a),Jaime Montojo (a),0,7
Liam Nolan (a),Liam Nolan (a),0,7
Jacob Skov Olesen (a),Jacob Skov Olesen (a),0,7
Altin van der Merwe (a),Altin Van Der Merwe (a),0,7